Day,Temperature
1,21.82628670933813
2,12.326351045972078
3,23.746197127425614
4,8.576291948290804
5,26.061803972075143
6,24.92861588616668
7,13.136854311291518
8,16.54555889452335
9,13.906933382031944
10,13.508225154045041
11,11.913517280978574
12,22.020097695139377
13,15.654727049107333
14,13.189476843635383
15,13.63105765710687
16,0.0
17,17.197470551579098
18,21.646806073373035
19,13.464351343616821
20,17.537454784492425
21,19.037052434075203
22,22.639288874356716
23,20.510420085527475
24,24.09863141263169
25,21.573590892300295
26,18.035593400172164
27,14.543281490011651
28,15.975093042646815
29,29.992550266852486
30,11.053946837928484
